conditionId,is_structurally_dead,done_clob_48h
0x6cb04f20ff1c979c7ad801e612e4c91fe9efc121d52a444c8abcec329b24d980,False,True
0xbc64909d160d2768288f6baa297d9a4d239cff2609482702e627045d5148f3cb,False,True
0x40ffacdc7e180a85c1c6f2fce2269ebd7cbd17ebf82527971c5b5cbd67d3bcdb,False,True
0x9ec95f64b7565acb4d5e46ebd907834ac0ad271242944077572512098bb4f93d,False,True
0xbd9e9b2be41d601841a673b5b44d7d6ae1953f297691f5875a1a380f5ec5d607,False,True
0x670b3fa9c6333c8b6dd5930cef4f160c4ac73ba737802efb721ae2c4e8bc6546,False,True
0x33e8f2ebf72a74f53e7e786018cbc9139e60f5da0eeffc16427990e048e77ea2,False,True
0xf9bd77d7e2424183b01c03d09e18d6c14afea87d8c3c8fa0749d4942ae2ecd08,False,True
0x09ea1da3a44c48af33751bfee8984941f0ee8277c5ce671ea047e3bdd4bfb89d,False,True
0x9235e62f2c543ded686d20963d07ee22f86493a7ed3f79251512ad6ab3787892,False,True
0xfbd127dcd58608b7d19353897a5a0deac97de72c2045250a4071ce83002538f9,False,True
0x020105bd51ab5946d1afda0909e64e5ad408fa7c490ac3caf44a8d4dcce288f4,False,True
0x73eb7c2b396f90ad1371823afff3561bfa9d6b108fef320a7e39aa4c2ba6fa8e,False,True
0x933303c0f3dc5ab5f22e58e7402c3a16c99e8361cfb6694f29780dcb3ce5e19c,False,True
0xfa25380b143019ba9ad92d32a783980031d19ed7aa042c492d0166b69f573483,False,True
0xcdda477612f8d25e0c30e3dc50ea759aa9f4fd6288130105b67cd8f753891375,False,True
0x9e134e2fd684f1994f9114789bdf97d0fd22c4695cb3cea6cf2f16e5be811b8c,False,True
0x8f520a87ba7fbddf5d701aa34817c5fabc944c91cc4c379118c05f368a762990,False,True
0x3f69fe47b662e18702bc763447f31d129719530a115c11bb6bcef84542a36d90,False,True
0xfc26103ed2d7668fa4534120dc2bcdd7bafde187ae394c5e0c0c08e341e4878a,False,True
0x5b4ea1b3517675ca61989a0ad80bc0a24ddb8a927ade83bd8f4885102c09f402,False,True
0xcb0716ad0af88ec794e725a6b4714b208bc4079d1d7b958079b891f7b4448774,False,True
0xbca8bb5fe332e1a3ead7ac2a8169352b3e729c7cf84786b67273f679ab38de79,False,True
0x9c839d7b673b481f41d25933662a827368f76878186d792de1f01c9d1f1d5344,False,True
0x54947058f6b4a406a24d3acd143ed82b194b454fe6522eb126df5f24726e7de0,False,True
0x8345ca223beea9033e0d144820a178f6e96039c4b93a9f8c018ad6b96e845d43,False,True
0x3a36278a4c071cae30d463ff3f3b7bbb7a52fb6dfbc0b4eeb0ce98b9fcc4de33,False,True
0xa8253e1affd5da66d11396cdbe9b4ded5e5b315e7d64c1462337d9ebf20004c5,False,True
0xef6bfae070347280592bfcc728cf8cfae6458e7d77c8641bdcf3314f46c22b83,False,True
0x27abedf475861d47ba77a1624e7347f70fbf9c77955975e7da70a69cdaeba5e9,False,True
0x82f1b07fac1e33c3f520fa0b9ab6d55916705a4215a342d3c79f9296795770af,False,True
0x83bcbcd7d597f67127749dbcad4e2eacfbfb333b7cd799f1b7d8f2b67b59b51c,False,True
0x5df1b69267b5453e40cd7a6664cbe36fbd19507db0e2a814f2eed99d82df0606,False,True
0xe0d6495f5a87635e6363d5686b5c4ae8b54ef8c6be8ffbe7c7076a25c27961b6,False,True
